Date,Open,High,Low,Close,Adj Close,Volume
03-03-2017,505.049988,517.125,500.25,515.575012,452.766663,372816
06-03-2017,509.899994,517.950012,509,516.924988,453.95224,310080
07-03-2017,512,512.75,507.5,509.850006,447.739105,238932
08-03-2017,510,510,502.125,503.625,442.27243,225212
09-03-2017,503.625,506.5,499.5,505.799988,444.182495,184560
10-03-2017,505.850006,513.75,505.850006,510.049988,447.914734,339350
14-03-2017,516.25,520.875,511.825012,517.5,454.457184,338488
15-03-2017,517.5,517.5,504,506.049988,444.402039,223702
16-03-2017,506,516,506,514.25,451.603058,206790
17-03-2017,517.5,521.25,510.225006,520,456.652618,222074
20-03-2017,514.5,514.5,507.950012,510.299988,448.134308,274124
21-03-2017,510.5,517.400024,509.450012,516,453.139923,202336
22-03-2017,510,519.5,510,513.900024,451.295715,232136
23-03-2017,514,521.275024,513.275024,520.299988,456.916077,214376
24-03-2017,520.200012,521.974976,513,515.900024,453.052094,277458
27-03-2017,516.5,520.974976,512.150024,514.400024,451.734833,501334
28-03-2017,513.125,519.375,513.125,517.549988,454.501099,142376
29-03-2017,517.5,520.25,512.924988,515.674988,452.854492,683436
30-03-2017,517.099976,517.924988,510.049988,512.25,449.846741,278044
31-03-2017,513,514.400024,504.899994,510.399994,448.222107,633410
03-04-2017,513.549988,515.25,503.274994,504.725006,443.238495,314934
05-04-2017,502.5,503,495.5,497.700012,437.069275,350290
06-04-2017,497.549988,502.899994,496,499.575012,438.715851,179094
07-04-2017,500,500,489.5,490.625,430.85614,429724
10-04-2017,491,495.5,475,476.475006,418.429901,663532
11-04-2017,477.5,485.600006,477.5,483.575012,424.664978,315436
12-04-2017,486,488.024994,480.524994,484.399994,425.389496,424198
13-04-2017,487,495.475006,463.5,465.700012,408.96759,3105136
17-04-2017,466,466.174988,460.950012,462.399994,406.069519,560292
18-04-2017,462.5,467,459.774994,461.200012,405.015808,541460
19-04-2017,464.899994,464.899994,456,459.399994,403.435028,617536
20-04-2017,460,464.899994,459.524994,463.825012,407.320953,374244
21-04-2017,467.100006,467.100006,460.649994,461.850006,405.586578,276078
24-04-2017,459.399994,464,456.5,463.024994,406.618378,394564
25-04-2017,464.899994,466.5,460.25,464.5,407.913727,323832
26-04-2017,466.5,467.350006,455.200012,457.024994,401.349304,531640
27-04-2017,460,463.225006,458,461.975006,405.696381,253232
28-04-2017,462.524994,463.25,458.450012,459.700012,403.698517,207394
02-05-2017,462.399994,462.875,457.825012,460.5,404.401031,155490
03-05-2017,462.149994,469.399994,459.100006,467.825012,410.83371,448300
04-05-2017,467.5,469.600006,464.575012,468.149994,411.119049,212092
05-05-2017,468,468.200012,460.625,465.75,409.011414,215106
08-05-2017,468,474.225006,466.375,472.725006,415.136749,307532
09-05-2017,474.950012,475.5,471.125,473.350006,415.685608,402626
10-05-2017,473.5,474.850006,468.600006,471.600006,414.148834,159882
11-05-2017,472.5,474.350006,468.875,471.924988,414.434235,129714
